text,label,target,gold_exp,pred_exp,similarity,originality,context,keep_hate,mean similarity,std similarity,mean originality,std originality,mean context,std context,sum_keep_hate
"  "" : #whatilove is the amazing  creative  white race . #whiteppl #whitepeople #whitepride "" "" lol """,hateful,Minorities,The message is hateful against minorities because it implies that minorities are not competent.,"The message is considered hateful as it is promoting one race over others, which can contribute to racial discrimination and superiority. The use of hashtags like #whitepride and #whitepeople in the context of loving the 'white race' for being 'amazing' and 'creative' could potentially incite racial tension.",2,4,1,1,"2,593","0,585","3,477","0,773","0,765","0,432",86
but they call us ( patriots ) the racist ...,hateful,black people,The message is hateful towards black people because it implies that black people are racist towards white people.,"The sentence is expressing a perspective or opinion without using any offensive or derogatory language. It does not directly attack or demean any particular group or individual, hence it is not hateful.",,,,0,,,,,,,
it means people aren't buying the lie  diversity kills  now prove me wrong,hateful,Progressives,The message is hateful towards Progressives because it implies that Progressives want to destroy white culture.,"The message is considered hateful as it negatively targets the concept of diversity, suggesting that it ""kills"". This is a harmful stereotype that promotes division and intolerance.",3,4,1,1,,,,,,,
i am drunk on your white tears of pain ! !,hateful,Minorities,The message is hateful against minorities because it implies that minorities are attacking whites.,"The message is considered hateful because it expresses joy or satisfaction from someone else's pain and suffering, which is a form of emotional abuse and hate. The target is unspecified because the message does not directly point out a specific individual or group.",2,4,1,1,,,,,,,
i have never understood why people thing homosexuality is something to celebrate . it is not . it is aber,hateful,gay people,The message is hateful towards gay people because it implies that they are wrong.,"This message is considered hateful as it expresses a negative opinion towards homosexuality, implying that it is something abnormal or wrong. Such a statement is disrespectful and discriminates against people based on their sexual orientation.",3,3,1,1,,,,,,,
liberal scientists developing method to make white people less resistant to non-white invasion #lol #swrm #whiterace,hateful,Liberals,The message is hateful towards Liberals because it implies that Liberals are against the white race.,"The message is hateful because it uses derogatory language to depict a group of people (liberal scientists) as malicious actors against another group (white people). It also uses racially charged language (""non-white invasion"") to incite fear and hostility. Furthermore, the hashtags used (#swrm #whiterace) promote white supremacy, which is a form of hate speech.",2,4,1,1,,,,,,,
anti-white shootings in nyc ?,hateful,Progressives,The message is hateful towards Progressives because it implies that Progressives are violently against whites.,"The message is reporting an event or asking about an event. It does not express hate, prejudice or discrimination towards any particular group. It is important to distinguish between reporting an event and promoting hate or violence.",,,,0,,,,,,,
that vulnerability : the genetic recessiveness of the white race !,hateful,white people,The message is hateful towards white people because it implies that white people are vulnerable.,"The message is labeled as hateful because it implies a negative characteristic (genetic recessiveness) to the entire white race, which is a form of racial discrimination. It uses a biological concept to demean and stereotype a particular racial group, which is inappropriate and offensive.",2,3,1,1,,,,,,,
obama wake up ! illegal immigrants are killing this country on your pathetic watch .,hateful,Illegal immigrants,The message is hateful against illegal immigrants because it implies that illegal immigrants degrade a country's culture.,"This message is labeled as hateful because it uses derogatory language to express strong disapproval and hostility towards Obama and illegal immigrants. It blames them for the perceived decline of the country, thereby promoting a negative stereotype.",3,5,1,1,,,,,,,
a national socialist gov would attack corruption at every turn and eliminate it . #wpww #whitepride #whitepower #tcot #capitalism #greed,hateful,Minorities,The message is hateful against minorities because it implies that minorities are corrupt.,"The message is considered hateful because it uses hashtags that are associated with white supremacy, such as #whitepride and #whitepower. This suggests a belief in racial superiority, which is a form of hate speech. However, the target of hate is not specifically mentioned in the text.",2,4,1,1,,,,,,,
"so, australia dumps its isis trash in usa in last minute binge by african prez to destabilize with jiahd trojans!",hateful,Immigrants,The message is hateful against immigrants because it implies that immigrants are terrorist trash.,"The message is hateful as it uses derogatory language to describe people from Australia and Africa. It also implies that the USA is a dumping ground for 'ISIS trash', which is a highly offensive and harmful stereotype. The use of the term 'jiahd trojans' also incites hate and fear.",2,4,1,1,,,,,,,
please kill urself hunter,hateful,Liberals,The message is hateful towards Liberals because it implies that Liberals should commit suicide.,"The message is directing a harmful and violent action towards an individual named Hunter, which makes it hateful. Encouraging someone to harm themselves is a clear form of hate speech.",2,5,1,1,,,,,,,
" so this  "" white genocide "" "" thing you are talking about is obviously because you don't find white women attractive enough to mate . xd """,hateful,white women,The message is hateful towards white women because it implies that white women are ugly.,"The message is hateful as it includes a derogatory assumption about white women's attractiveness. It is also using the term ""white genocide"" which is often associated with white supremacist rhetoric, implying a threat or harm towards a specific racial group.",2,3,1,1,,,,,,,
#italy jihadi talked about fastening his belt to reach heaven #islam #islamophobia #tcot,hateful,Muslims,The message is hateful towards Muslims because it implies that Muslims are killers.,"The tweet is sharing information about a specific individual's actions or beliefs, not expressing hatred or promoting discrimination towards a group based on their religion or nationality. It's important to note that while the tweet does mention sensitive topics such as terrorism and religion, it does not explicitly express hate or incite violence.",,,,0,,,,,,,
amren is not pro white i think . when i offered to speak i was answered by a jew & then no one got back to me,hateful,Jews,The message is hateful against Jews because it implies that Jews are anti-white.,"The message is labeled as hateful because it uses a person's Jewish identity in a negative context, implying that the person's Jewish background is a reason for not getting back to the speaker. This promotes a harmful stereotype against a specific group, in this case, Jews.",2,4,1,1,,,,,,,
anti white ? see i knew this was a scam . stop lying to yourself  snowflake . just because you criticizeracists and bigots  doesn't mean you're anti white . coward,hateful,white folks,The message is hateful against white folks because it implies that being anti-racist is seen as being anti-white.,"The message is not promoting hate or harm towards any individual or group based on their inherent characteristics. It is expressing a disagreement with someone's viewpoint and criticizing their behavior, but it does not cross into hate speech.",,,,,,,,,,,
whites who're true to themselves and their people .,hateful,white people,The message is hateful towards white people because it implies that white people understand white people.,"The sentence does not express any form of hate, discrimination, or prejudice towards any group or individual. It simply talks about whites being true to themselves and their people, which does not inherently incite hate or harm.",,,,0,,,,,,,
america you can't coexist with people who want to kill you ! #rt #stopislam #stopjihad #nosharia #nopc,hateful,Islamic people,The message is hateful towards Islamic people because it implies that they are killers.,"The message uses hashtags that are discriminatory and offensive towards Muslims, such as #stopislam and #nosharia. It promotes a negative stereotype that all Muslims are violent and want to harm others, which is a form of hate speech.",3,4,1,1,,,,,,,
for some reason you are so full of hate . that is what is not understood . saying we are white privileged . who you follow shows who you are . i would not be proud .,hateful,white people,The message is hateful towards white people because it implies that white people are privileged.,"The message is expressing a personal opinion and disagreement with another person's viewpoint, but it does not contain explicit hate speech, slurs, or derogatory language towards any individual or group. The message is more of a critique and does not promote hate or harm.",,,,0,,,,,,,
more preoccupied by a frog or lizard than safety of americans! #buildthewall,hateful,Americans,The message is hateful towards Americans because it implies that Americans are not the main concern.,"The message criticizes a perceived lack of concern for American safety, referencing a political issue (building a wall). While it may be offensive to some, it does not contain explicit hate speech, derogatory slurs, or direct attacks on a specific group of people based on their race, religion, gender, or other protected characteristics.",,,,0,,,,,,,
the problem in the inner cities is not white silence but black violence . take responsibility for your actions and stop the race baiting now !,hateful,Blacks,The message is hateful towards Blacks because it implies that Blacks are vicious and aggressive.,"The message is hateful as it generalizes and blames black people for violence in inner cities, implying that they are solely responsible for any problems. It also accuses them of 'race baiting', which is a derogatory term. Such generalizations and accusations contribute to racial stereotypes and discrimination.",3,4,1,1,,,,,,,
"no, you have to call her and """"empty barrel""""! oops! i guess i'm a black white supremacist.",hateful,Black people.,The message is hateful towards Black people because it implies avoiding them.,"The message does not express any hate, discrimination, or prejudice towards any individual or group based on their identity. The term ""black white supremacist"" may seem controversial but it does not directly target or insult any particular group or individual. It seems more like a self-deprecating joke from the speaker.",,,,0,,,,,,,
war afoot now : rampantblack terrorism targeting whites >,hateful,black people,The message is hateful against black people because it implies that black people dislike white people.,"The message is considered hateful as it promotes hostility and violence towards a specific racial/ethnic group, in this case, whites. It uses derogatory terms and implies a threat, which is a clear form of hate speech.",3,4,0,1,,,,,,,
"ur right it's simple! islam is not part of our civilization via bill warner, phd:",hateful,Islamists,The message is hateful towards Islamists because it implies that Islamists are wild.,The message is labeled as hateful because it explicitly excludes Islam from being part of 'our' civilization. This kind of exclusion can be interpreted as a form of discrimination or hate towards the religion and its followers.,3,3,1,1,,,,,,,
